visa_type,country,processing_center,processing_time_days
Work,Germany,Paris,38
Tourist,Japan,New York,28
Student,Australia,Paris,42
Student,India,Sydney,33
Business,Japan,Sao Paulo,60
Tourist,Canada,Tokyo,58
Business,USA,Sydney,28
Tourist,UK,Berlin,14
Family,Canada,Paris,46
Work,USA,Delhi,34
Family,UK,Berlin,12
Tourist,France,Berlin,37
Work,Australia,London,35
Student,USA,Berlin,20
Student,USA,Beijing,20
Business,India,Sydney,16
Tourist,Germany,New York,35
Tourist,Australia,Beijing,56
Student,Australia,Sao Paulo,13
Family,Canada,Sao Paulo,28
Work,UK,Beijing,43
Family,France,Toronto,19
Family,UK,Sydney,11
Student,Canada,Beijing,16
Student,France,Sydney,53
Student,UK,Tokyo,44
Business,Canada,Beijing,41
Family,Australia,Berlin,24
Tourist,India,Berlin,21
Work,USA,Paris,56
Business,Germany,New York,53
Tourist,Japan,Delhi,22
Family,Brazil,Tokyo,52
Student,China,Tokyo,17
Family,Canada,Beijing,48
Work,China,Beijing,30
Business,UK,Sao Paulo,36
Business,Brazil,London,26
Work,USA,London,20
Tourist,UK,Toronto,17
Tourist,USA,Toronto,41
Business,France,Beijing,19
Business,India,Toronto,44
Student,Canada,London,37
Tourist,India,Sydney,41
Work,Canada,Paris,13
Tourist,UK,Sydney,59
Student,Japan,Berlin,36
Business,India,Paris,48
Business,Brazil,Berlin,52
Student,India,Sao Paulo,27
Work,France,Toronto,41
Business,UK,Sydney,14
Family,Germany,Sydney,46
Business,Brazil,Tokyo,37
Family,Canada,Toronto,48
Student,USA,Beijing,22
Student,Germany,New York,31
Business,Germany,Beijing,36
Tourist,UK,New York,18
Family,Australia,Berlin,36
Work,Canada,Sao Paulo,60
Business,India,Sydney,26
Work,India,Sydney,21
Business,USA,Delhi,21
Tourist,Germany,London,44
Tourist,UK,New York,37
Tourist,Japan,Beijing,39
Tourist,UK,Tokyo,36
Student,Brazil,Paris,52
Student,China,Delhi,41
Family,France,Berlin,47
Work,China,Sao Paulo,49
Business,Germany,Delhi,15
Business,Canada,Tokyo,40
Student,Australia,Tokyo,10
Business,France,London,52
Student,China,New York,30
Family,Australia,Paris,21
Work,Brazil,Sydney,21
Family,USA,London,46
Tourist,Japan,Toronto,55
Tourist,Japan,Sao Paulo,31
Tourist,Brazil,Tokyo,47
Family,Brazil,Paris,60
Business,Australia,Sao Paulo,25
Work,Australia,New York,21
Tourist,Brazil,Beijing,48
Tourist,Germany,Sao Paulo,54
Tourist,China,Tokyo,23
Work,Germany,Paris,18
Tourist,Brazil,London,11
Work,India,New York,38
Tourist,Germany,Beijing,44
Family,India,New York,31
Family,France,Sao Paulo,14
Work,Brazil,Berlin,14
Family,Australia,Sao Paulo,53
Work,India,Sydney,59
Family,India,Delhi,29
Family,China,New York,42
Work,Germany,Sao Paulo,53
Business,Canada,Paris,14
Family,Canada,Sao Paulo,16
Tourist,France,Paris,14
Business,USA,Sydney,10
Work,China,Sao Paulo,28
Business,China,Sao Paulo,18
Student,France,Berlin,26
Student,Australia,New York,48
Family,Brazil,Delhi,18
Family,Japan,Sydney,25
Tourist,Brazil,Sao Paulo,28
Business,Japan,London,56
Student,China,Delhi,23
Family,Brazil,Delhi,45
Business,Germany,London,45
Family,UK,Sao Paulo,53
Family,Australia,Berlin,12
Student,India,New York,35
Student,Canada,Beijing,56
Family,Australia,Beijing,20
Work,Canada,Sydney,52
Family,Germany,Berlin,37
Family,China,New York,49
Tourist,Canada,Delhi,52
Tourist,China,Sydney,20
Tourist,Japan,London,21
Work,USA,Sydney,51
Work,India,New York,36
Family,China,Sao Paulo,21
Tourist,Australia,Berlin,42
Work,Brazil,Sao Paulo,14
Student,France,Paris,30
Family,China,Toronto,39
Business,India,Tokyo,42
Family,Japan,Sydney,19
Business,UK,London,10
Tourist,Australia,New York,38
Business,Brazil,Berlin,16
Tourist,France,Delhi,60
Student,Canada,Delhi,42
Business,Germany,Paris,10
Family,Brazil,Sydney,40
Tourist,Japan,London,57
Family,India,Tokyo,42
Work,France,Delhi,12
Tourist,USA,Toronto,40
Business,India,Delhi,11
Tourist,China,Berlin,27
Family,Australia,Delhi,49
Student,France,Beijing,27
Tourist,India,New York,33
Business,India,Sao Paulo,41
Work,Brazil,Tokyo,33
Student,USA,London,18
Work,Japan,Sydney,21
Tourist,China,Berlin,36
Family,Germany,New York,48
Family,UK,Delhi,14
Business,India,New York,44
Family,India,Paris,35
Student,Japan,Tokyo,19
Family,China,Paris,19
Business,UK,Delhi,12
Tourist,Canada,New York,22
Tourist,India,Beijing,31
Family,UK,Paris,30
Work,China,Tokyo,43
Tourist,Australia,Berlin,35
Family,Japan,Paris,19
Business,UK,Tokyo,53
Family,China,Beijing,29
Tourist,Canada,Beijing,26
Business,France,London,33
Family,Japan,Berlin,42
Student,UK,Beijing,52
Business,UK,Delhi,25
Student,Germany,Paris,56
Work,Japan,Delhi,46
Business,India,London,58
Student,India,Tokyo,43
Tourist,USA,Sao Paulo,52
Tourist,Australia,Delhi,17
Work,UK,Delhi,24
Business,France,London,22
Business,Canada,Berlin,34
Business,UK,Sydney,54
Work,France,Toronto,58
Business,France,Beijing,51
Tourist,USA,Toronto,37
Student,Canada,Toronto,48
Tourist,UK,Berlin,45
Tourist,Germany,Sao Paulo,47
Student,USA,Sydney,19
Tourist,Japan,Tokyo,25
Work,USA,London,22
Student,USA,Berlin,39
Tourist,Australia,Sydney,22
Family,UK,London,34
Tourist,UK,Berlin,50
Work,Brazil,Berlin,26
Business,USA,Sao Paulo,15
Tourist,Canada,Delhi,30
Business,Canada,Sydney,30
Family,Germany,Berlin,37
Tourist,France,New York,21
Student,France,Sao Paulo,17
Business,UK,London,46
Family,Australia,Tokyo,28
Student,Canada,Paris,56
Student,China,Delhi,27
Student,Brazil,London,29
Student,Australia,London,21
Tourist,China,London,14
Tourist,France,New York,32
Tourist,Japan,Toronto,52
Family,India,London,29
Family,India,London,18
Family,China,Delhi,32
Work,Australia,Sydney,47
Family,France,Sao Paulo,18
Tourist,India,Tokyo,49
Tourist,UK,Sydney,38
Work,China,Sydney,46
Work,Brazil,Beijing,39
Family,USA,Delhi,22
Business,Japan,New York,36
Work,UK,New York,26
Student,China,Sao Paulo,59
Tourist,China,Delhi,13
Student,India,New York,12
Tourist,Canada,Toronto,54
Tourist,Canada,Beijing,55
Work,USA,Paris,53
Work,India,London,28
Student,Canada,Beijing,10
Tourist,Canada,Paris,17
Student,Germany,Delhi,11
Business,Brazil,Berlin,44
Student,Brazil,Sydney,12
Family,USA,Toronto,26
Student,France,Delhi,53
Family,Canada,New York,60
Family,Canada,Toronto,48
Family,Japan,Tokyo,40
Business,USA,Berlin,19
Student,Brazil,Berlin,19
Student,USA,Delhi,27
Business,Canada,Paris,48
Tourist,India,Beijing,14
Work,Canada,New York,15
Student,Canada,Berlin,40
Work,France,Sydney,45
Business,Australia,Tokyo,23
Tourist,Australia,Tokyo,42
Tourist,Canada,Beijing,38
Tourist,Canada,Toronto,28
Business,France,Toronto,19
Family,India,Paris,32
Family,Japan,Delhi,50
Work,Australia,Sydney,17
Family,Japan,Toronto,33
Family,USA,New York,15
Tourist,UK,Beijing,46
Tourist,India,Berlin,36
Work,Canada,New York,41
Student,USA,Sydney,52
Work,India,Toronto,39
Work,Japan,Delhi,56
Business,Japan,Delhi,12
Business,Australia,Paris,19
Work,France,Tokyo,27
Work,Japan,Berlin,22
Work,Canada,Tokyo,26
Family,USA,New York,25
Business,China,Sao Paulo,30
Work,UK,Sao Paulo,21
Tourist,Brazil,Paris,25
Tourist,Germany,Sydney,23
Family,Brazil,Berlin,19
Family,Brazil,Berlin,26
Student,Brazil,Sydney,28
Student,France,Beijing,18
Student,Canada,London,55
Family,USA,Tokyo,15
Family,Japan,Toronto,57
Family,India,Delhi,27
Tourist,Canada,Delhi,42
Family,UK,Paris,14
Tourist,France,Toronto,37
Student,France,Toronto,52
Student,India,New York,17
Student,China,Paris,43
Work,Brazil,Sydney,54
Work,France,Delhi,25
Business,Japan,Tokyo,50
Business,Japan,Sydney,23
Business,USA,London,26
Work,Japan,Sydney,58
Work,France,Beijing,14
Business,Japan,Tokyo,38
Business,Japan,Paris,28
Family,UK,New York,35
Business,Canada,London,38
Family,UK,Paris,20
Tourist,Australia,New York,53
Work,Brazil,Sao Paulo,34
Business,Canada,Paris,38
Work,USA,Paris,27
Work,UK,Toronto,38
Work,Germany,Toronto,48
Tourist,Brazil,Paris,49
Student,Brazil,Berlin,50
Business,Canada,Paris,51
Student,UK,Delhi,39
Student,China,Berlin,31
Student,Australia,Berlin,41
Work,France,New York,44
Family,Germany,Tokyo,60
Work,UK,Sydney,46
Work,USA,Paris,38
Student,UK,Sydney,56
Work,Canada,Berlin,56
Student,Germany,London,54
Family,France,New York,49
Business,Australia,Beijing,50
Student,USA,Beijing,31
Family,USA,Toronto,56
Business,Brazil,Berlin,12
Tourist,Canada,London,55
Student,Canada,Sydney,22
Student,India,Paris,11
Tourist,India,Paris,53
Tourist,Japan,Tokyo,59
Student,Germany,New York,57
Tourist,France,Beijing,18
Work,Canada,Delhi,48
Business,UK,Berlin,10
Business,UK,Sydney,46
Business,UK,London,26
Work,India,Toronto,20
Tourist,UK,London,20
Family,USA,Sao Paulo,11
Tourist,France,Berlin,17
Student,Brazil,Paris,23
Business,Brazil,Paris,55
Tourist,Australia,Tokyo,52
Family,Canada,Tokyo,13
Student,India,Beijing,25
Work,USA,Sao Paulo,16
Work,USA,Toronto,42
Family,Germany,Tokyo,34
Student,Germany,Toronto,15
Business,Australia,London,17
Tourist,France,Tokyo,39
Student,China,Paris,16
Work,Japan,Paris,59
Family,France,Sydney,28
Family,UK,New York,12
Tourist,UK,Sydney,19
Family,Japan,London,40
Family,Japan,New York,56
Student,Canada,Sydney,22
Business,Brazil,Paris,40
Tourist,India,Berlin,52
Student,UK,Beijing,18
Business,Canada,Paris,28
Student,China,Paris,36
Student,China,Berlin,43
Family,India,New York,45
Business,Australia,Beijing,28
Tourist,Brazil,London,27
Tourist,China,Berlin,10
Business,India,London,38
Family,Brazil,Berlin,60
Work,Australia,Paris,57
Student,Canada,Beijing,21
Family,Canada,Berlin,49
Business,USA,Tokyo,15
Student,India,Berlin,52
Tourist,Germany,New York,28
Work,Canada,Tokyo,35
Tourist,UK,Toronto,47
Business,Australia,Sao Paulo,34
Student,UK,Sydney,26
Business,Australia,New York,21
Student,Australia,Sao Paulo,29
Family,Japan,Berlin,49
Work,France,Tokyo,37
Family,India,New York,15
Family,Germany,Tokyo,57
Business,Japan,Toronto,32
Work,USA,Delhi,40
Student,Japan,Toronto,11
Student,Australia,New York,42
Tourist,UK,Paris,18
Student,France,London,35
Business,Germany,Tokyo,26
Family,France,Toronto,26
Family,France,London,54
Family,Germany,Sao Paulo,39
Work,India,Delhi,46
Student,Brazil,Beijing,57
Business,Brazil,Berlin,39
Work,Brazil,London,55
Tourist,France,Tokyo,25
Business,Canada,Toronto,60
Business,USA,Sydney,30
Business,USA,Berlin,27
Family,USA,Sao Paulo,36
Business,Japan,Toronto,14
Student,Canada,New York,22
Business,UK,London,35
Family,Australia,Tokyo,29
Business,Japan,London,14
Tourist,Japan,New York,22
Tourist,Japan,Paris,49
Family,Brazil,Paris,46
Student,China,Berlin,57
Student,Canada,New York,50
Work,India,New York,54
Family,Brazil,London,35
Business,Australia,Sao Paulo,24
Family,USA,Delhi,18
Work,Germany,Toronto,32
Family,China,London,54
Family,China,Beijing,30
Work,Japan,Tokyo,60
Student,India,Berlin,45
Business,Australia,Berlin,43
Work,USA,London,11
Tourist,Australia,Berlin,27
Student,Germany,Tokyo,36
Tourist,UK,Sao Paulo,59
Student,China,Tokyo,10
Business,USA,Sao Paulo,29
Business,Germany,Delhi,32
Family,Japan,Tokyo,47
Tourist,Canada,London,59
Student,Canada,Sydney,48
Business,Japan,New York,37
Work,France,Beijing,56
Business,India,London,38
Work,USA,Sydney,42
Student,Germany,Delhi,58
Business,UK,Beijing,14
Business,Australia,Delhi,43
Student,India,Delhi,17
Business,France,Beijing,55
Work,USA,Toronto,44
Business,India,Berlin,28
Tourist,USA,Paris,51
Family,France,London,20
Work,Brazil,London,39
Tourist,Canada,Sao Paulo,58
Student,Japan,Beijing,10
Work,UK,Sydney,52
Family,France,New York,56
Family,China,Sydney,26
Student,Germany,Sydney,19
Student,Brazil,New York,21
Work,Brazil,Toronto,45
Business,France,Berlin,39
Student,UK,Tokyo,17
Business,UK,London,42
Tourist,India,Berlin,22
Family,France,London,43
Business,USA,New York,31
Family,Germany,Beijing,52
Business,Germany,Paris,25
Tourist,Germany,Toronto,19
Student,China,Paris,35
Tourist,Germany,Sydney,49
Student,Brazil,Delhi,34
Student,France,London,46
Family,Japan,Paris,22
Tourist,Germany,Beijing,50
Business,Australia,New York,59
Tourist,Canada,Paris,60
Family,Brazil,Toronto,12
Student,Brazil,Delhi,38
Family,Germany,Paris,13
Work,Brazil,Tokyo,56
Work,USA,Paris,47
Business,Canada,Delhi,50
Family,France,Sydney,31
Business,Australia,Sydney,23
Business,Australia,Berlin,10
Work,India,Delhi,45
Business,USA,Paris,33
Work,UK,Beijing,18
Student,Germany,Beijing,28
Family,Brazil,Sao Paulo,60
Business,Australia,Beijing,17
Work,Canada,Sydney,11
Tourist,Japan,Sydney,39
Business,Brazil,Sydney,39
Student,Germany,New York,53
Student,Japan,Toronto,10
Tourist,UK,New York,36
Work,France,Sydney,50
Business,Japan,Berlin,47
Work,USA,Sydney,60
Student,China,London,10
Work,USA,Sao Paulo,40
Student,Germany,Sao Paulo,45
Work,China,Toronto,18
Tourist,Australia,Tokyo,12
Family,France,Sydney,58
Tourist,Australia,London,52
Tourist,China,Tokyo,32
Family,Australia,Toronto,17
Family,India,Delhi,23
Business,Australia,Sao Paulo,47
Business,Brazil,London,54
Tourist,France,London,22
Tourist,China,New York,21
Student,Japan,New York,48
Student,Australia,Tokyo,20
Business,Australia,London,21
Business,China,Sao Paulo,23
Student,France,Beijing,21
Student,Canada,Sydney,48
Work,India,Sao Paulo,18
Work,Germany,Tokyo,32
Student,France,Delhi,29
Work,Australia,London,57
Family,Germany,London,44
Business,Germany,Sydney,36
Business,China,Tokyo,43
Student,China,Tokyo,45
Tourist,India,Toronto,11
Student,USA,Tokyo,55
Work,UK,Sydney,52
Tourist,Canada,Toronto,24
Work,Brazil,Paris,30
Family,Japan,Berlin,44
Work,Canada,Berlin,53
Family,Australia,Beijing,22
Family,Germany,Sao Paulo,43
Work,China,Delhi,59
Work,France,Toronto,34
Family,Australia,Tokyo,51
Tourist,India,Paris,58
Family,Australia,Beijing,49
Business,USA,Sao Paulo,31
Family,China,Tokyo,38
Tourist,China,Sydney,13
Business,Brazil,Berlin,25
Student,Brazil,Sao Paulo,37
Student,Canada,Sao Paulo,31
Tourist,Brazil,Sao Paulo,22
Family,USA,Paris,47
Work,Australia,Delhi,27
Tourist,UK,Beijing,50
Business,Japan,Sydney,38
Business,Australia,Beijing,30
Student,UK,London,53
Business,UK,Toronto,22
Tourist,Canada,Beijing,36
Business,Australia,Toronto,54
Tourist,China,New York,50
Work,Canada,London,14
Student,UK,Paris,18
Business,Brazil,Paris,25
Tourist,China,Sao Paulo,56
Family,France,Paris,28
Student,France,London,32
Work,India,Delhi,41
Tourist,China,New York,12
Work,USA,London,21
Work,China,New York,49
Business,Canada,London,17
Business,India,Berlin,51
Tourist,Canada,Toronto,26
Family,Germany,Toronto,20
Tourist,Canada,New York,50
Family,Germany,Tokyo,42
Work,Japan,Tokyo,45
Student,France,Delhi,58
Tourist,India,Paris,36
Tourist,Brazil,Paris,40
Family,Brazil,Tokyo,54
Work,USA,New York,18
Work,Australia,Sydney,28
Family,Canada,New York,34
Work,India,Delhi,28
Business,USA,Berlin,47
Student,UK,London,52
Tourist,Brazil,Paris,19
Student,Canada,London,47
Tourist,Germany,New York,18
Business,Australia,Paris,17
Work,UK,Paris,49
Family,Australia,Sao Paulo,10
Business,China,Delhi,30
Student,UK,Delhi,49
Family,China,Sao Paulo,13
Work,France,London,60
Business,India,Sao Paulo,54
Family,UK,Beijing,27
Business,Brazil,Paris,55
Business,France,Paris,51
Work,Brazil,Paris,23
Tourist,Japan,Berlin,29
Family,UK,Delhi,57
Work,Japan,Delhi,45
Business,Brazil,Toronto,11
Work,Brazil,Toronto,57
Tourist,China,Toronto,24
Family,China,Delhi,27
Tourist,Germany,London,34
Student,Australia,Delhi,39
Family,Brazil,New York,44
Tourist,UK,Paris,17
Business,France,Beijing,39
Family,Canada,Beijing,34
Family,USA,Toronto,16
Work,Brazil,New York,26
Business,UK,Tokyo,41
Student,Germany,Sao Paulo,34
Tourist,Brazil,Tokyo,57
Work,Japan,London,37
Tourist,India,Delhi,47
Student,Australia,New York,17
Student,Japan,Paris,31
Family,Germany,Paris,47
Student,UK,New York,15
Tourist,Germany,Sao Paulo,21
Business,USA,Toronto,38
Business,Brazil,Tokyo,39
Family,USA,Beijing,41
Tourist,India,Delhi,17
Tourist,UK,Delhi,60
Student,India,Sydney,58
Tourist,France,Berlin,35
Work,France,Tokyo,58
Student,China,Sydney,30
Work,India,Sao Paulo,45
Family,USA,Toronto,22
Business,USA,Toronto,15
Family,USA,London,31
Business,Japan,Beijing,25
Family,Germany,London,27
Tourist,Japan,Sao Paulo,41
Work,Brazil,Sao Paulo,26
Business,Brazil,Tokyo,58
Student,USA,Berlin,49
Work,Canada,Delhi,47
Student,India,Toronto,23
Work,USA,Delhi,49
Work,China,Beijing,60
Family,Brazil,Sao Paulo,49
Business,India,Delhi,52
Business,France,Tokyo,53
Work,Australia,Tokyo,26
Tourist,India,Beijing,26
Tourist,Japan,Delhi,25
Student,India,Sydney,26
Student,China,Toronto,31
Family,Canada,Beijing,37
Work,Japan,New York,55
Student,USA,Sydney,24
Student,Japan,Berlin,48
Work,India,Delhi,31
Family,China,London,30
Student,Germany,Berlin,20
Family,China,Sao Paulo,22
Business,France,Sydney,45
Family,Germany,New York,29
Tourist,Australia,Paris,46
Tourist,Canada,Sydney,15
Family,Brazil,Delhi,60
Tourist,UK,Berlin,10
Business,France,Tokyo,26
Work,China,Paris,31
Tourist,France,Berlin,32
Tourist,India,Paris,15
Family,USA,Paris,28
Business,USA,Beijing,39
Work,Australia,Toronto,49
Family,Canada,Toronto,55
Family,Brazil,Paris,20
Business,Brazil,Sao Paulo,26
Work,Germany,Tokyo,38
Business,USA,Paris,57
Work,Japan,New York,28
Business,USA,Berlin,56
Family,India,London,53
Family,USA,New York,57
Student,UK,New York,21
Tourist,Australia,Sao Paulo,30
Business,Germany,New York,24
Student,Australia,London,39
Tourist,India,Beijing,10
Business,Japan,Sydney,26
Work,France,Delhi,39
Tourist,USA,Sao Paulo,30
Family,India,Paris,37
Student,Germany,Paris,29
Tourist,UK,Beijing,60
Tourist,UK,Delhi,28
Family,Brazil,Sydney,33
Business,Japan,Berlin,20
Work,USA,Delhi,35
Family,Canada,Paris,26
Work,China,Beijing,49
Business,India,Delhi,35
Tourist,Australia,Tokyo,54
Work,Australia,Paris,47
Student,India,Tokyo,24
Student,Germany,Beijing,22
Family,Australia,Paris,26
Business,China,Paris,23
Family,Germany,Sao Paulo,28
Family,UK,New York,51
Family,Brazil,Sao Paulo,36
Student,Australia,Paris,23
Student,Australia,Sydney,11
Family,Brazil,London,16
Student,Australia,Paris,10
Business,UK,Delhi,30
Family,Brazil,New York,41
Student,Canada,Berlin,50
Work,India,Paris,48
Family,Australia,Tokyo,14
Family,Germany,Delhi,37
Business,Canada,Tokyo,47
Tourist,Canada,New York,20
Tourist,Australia,Paris,48
Business,Germany,Berlin,58
Business,China,Sydney,44
Business,Germany,Sydney,22
Tourist,Canada,London,36
Business,Germany,Toronto,10
Student,India,New York,60
Family,Brazil,Toronto,58
Family,USA,London,49
Work,USA,Tokyo,18
Work,Germany,Delhi,45
Family,Japan,London,53
Student,Germany,Delhi,15
Tourist,Australia,Tokyo,52
Tourist,UK,Toronto,20
Student,Canada,Berlin,43
Tourist,Brazil,London,48
Business,USA,Tokyo,15
Family,Japan,Delhi,45
Family,Australia,Sao Paulo,57
Student,Japan,Delhi,12
Tourist,Japan,Beijing,37
Work,Germany,Sydney,15
Work,Canada,Tokyo,17
Tourist,China,Tokyo,33
Work,India,New York,56
Student,Japan,Toronto,24
Student,Australia,Toronto,37
Tourist,USA,New York,18
Work,Germany,Tokyo,42
Student,Australia,Tokyo,37
Student,China,Beijing,19
Business,Australia,London,60
Business,Australia,Toronto,34
Student,Canada,Toronto,13
Tourist,India,Berlin,40
Family,UK,Paris,22
Family,Germany,Toronto,35
Student,USA,Paris,44
Student,Brazil,Delhi,16
Student,Brazil,Tokyo,11
Tourist,India,London,18
Business,France,Berlin,47
Student,Germany,New York,26
Student,Australia,New York,56
Work,Brazil,Toronto,60
Tourist,Canada,Berlin,50
Student,Australia,Tokyo,30
Work,India,London,38
Family,Japan,London,41
Student,India,Beijing,48
Student,China,Paris,25
Work,UK,New York,45
Tourist,China,Sydney,17
Student,India,Paris,30
Family,Brazil,Tokyo,47
Student,China,New York,51
Family,China,Berlin,16
Business,UK,London,22
Business,France,London,30
Family,Germany,Toronto,14
Tourist,Japan,Sao Paulo,14
Student,USA,Paris,50
Student,Brazil,Toronto,37
Business,UK,Paris,42
Family,Australia,Beijing,52
Student,USA,Berlin,13
Student,USA,Toronto,29
Tourist,Brazil,Sao Paulo,46
Work,USA,London,45
Business,USA,Toronto,49
Business,Canada,Tokyo,46
Work,India,Berlin,47
Student,Germany,Paris,18
Tourist,India,Tokyo,49
Tourist,India,Delhi,44
Business,Canada,Berlin,41
Tourist,Germany,Sao Paulo,42
Work,UK,Paris,36
Student,Germany,Paris,59
Work,Japan,Tokyo,47
Family,China,Sydney,49
Business,Canada,Berlin,42
Tourist,France,Paris,45
Family,Japan,Tokyo,33
Tourist,Canada,New York,51
Student,Canada,Beijing,26
Student,USA,Beijing,59
Student,Japan,Beijing,20
Tourist,Australia,Delhi,43
Family,Canada,New York,27
Student,Canada,Tokyo,30
Family,China,Paris,28
Tourist,India,Sao Paulo,44
Family,Australia,Delhi,28
Tourist,India,Paris,48
Tourist,Brazil,Sao Paulo,43
Business,USA,London,12
Tourist,Germany,Beijing,49
Tourist,India,Paris,35
Work,France,Paris,49
Student,France,London,36
Business,Germany,Beijing,12
Business,Germany,London,16
Business,India,Paris,12
Work,UK,Paris,30
Tourist,Japan,Paris,60
Student,Canada,Delhi,46
Family,Canada,Toronto,27
Tourist,Germany,Delhi,53
Work,Brazil,Tokyo,36
Tourist,France,Berlin,19
Tourist,Australia,Delhi,12
Work,Canada,Tokyo,52
Business,India,Sydney,34
Business,Brazil,Tokyo,40
Student,Brazil,Berlin,42
Student,Brazil,Berlin,29
Business,Japan,Berlin,21
Family,Australia,Paris,39
Tourist,UK,Delhi,43
Family,Brazil,Sao Paulo,43
Tourist,Germany,Beijing,18
Business,China,Berlin,14
Student,UK,Tokyo,33
Student,Germany,New York,14
Family,Australia,Sydney,16
Student,China,New York,42
Business,Brazil,Beijing,57
Family,France,Berlin,16
Tourist,USA,New York,54
Student,Australia,Tokyo,22
Work,UK,Sydney,13
Student,France,Paris,27
Tourist,France,Tokyo,52
Family,India,Tokyo,36
Tourist,USA,London,37
Work,China,Tokyo,59
Business,India,Beijing,33
Student,UK,Paris,23
Family,China,Sydney,21
Business,Brazil,Delhi,18
Tourist,UK,Paris,22
Family,Canada,Beijing,36
Business,Brazil,Sao Paulo,17
Family,Germany,Delhi,19
Work,France,Beijing,14
Work,France,London,53
Student,USA,New York,42
Student,India,Sao Paulo,60
Work,Australia,Paris,21
Family,India,Sao Paulo,41
Work,Australia,Sydney,59
Student,Germany,Paris,56
Work,Japan,Paris,13
Work,Brazil,Toronto,18
Family,Brazil,New York,50
Business,India,Toronto,18
Student,Germany,Sydney,18
Family,China,Paris,54
Work,Japan,Sao Paulo,60
Work,China,New York,60
Business,USA,Berlin,16
Student,India,Tokyo,47
Student,Germany,Sao Paulo,11
Tourist,Germany,Tokyo,19
Student,UK,Sao Paulo,46
Business,Canada,Beijing,33
Tourist,Brazil,Sao Paulo,48
Tourist,Germany,Sydney,21
Work,France,Sydney,52
Work,Japan,Berlin,48
Student,Brazil,Sao Paulo,48
Tourist,Brazil,Berlin,45
Work,India,Sao Paulo,12
Business,Japan,New York,12
Work,Australia,Toronto,25
Work,Australia,Delhi,51
Tourist,Germany,New York,32
Tourist,Japan,Sydney,10
Family,Germany,Toronto,39
Business,Germany,Paris,41
Tourist,UK,Delhi,43
Student,Brazil,Tokyo,50
Business,Japan,Beijing,44
Business,China,Delhi,39
Tourist,Australia,Toronto,37
Business,Germany,Sao Paulo,41
Tourist,Japan,Tokyo,50
Work,Brazil,Berlin,56
Family,UK,London,29
Work,USA,Paris,48
Tourist,USA,New York,13
Tourist,USA,Beijing,41
Work,Japan,Berlin,25
Student,France,Beijing,44
Student,Japan,Tokyo,23
Student,Japan,London,29
Tourist,India,Delhi,45
Business,Brazil,Sao Paulo,47
Tourist,Brazil,New York,37
Business,Japan,Tokyo,23
Work,India,Toronto,12
Family,Canada,Toronto,33
Business,China,Toronto,37
Student,France,Sao Paulo,58
Tourist,Canada,Delhi,16
Work,Japan,London,57
Student,India,London,24
Work,France,New York,34
Family,Australia,Berlin,16
Tourist,India,Toronto,33
Tourist,USA,Delhi,20
Family,China,Delhi,58
Tourist,Canada,Beijing,45
Business,India,Paris,24
Work,Brazil,Tokyo,19
Student,Germany,London,38
Family,China,Paris,21
Business,India,Paris,33
Student,Australia,Berlin,16
Student,Japan,Delhi,38
Family,Japan,Berlin,30
Business,China,Beijing,37
Student,Germany,Delhi,38
Student,Brazil,Paris,59
Business,India,London,57
Tourist,Brazil,Sao Paulo,50
Student,Japan,Beijing,46
Work,India,Delhi,28
Business,Japan,Paris,39
Student,Australia,Paris,34
Family,Brazil,Berlin,39
Work,Germany,London,59
Student,China,New York,40
Work,Japan,Beijing,32
Work,Australia,New York,44
Tourist,Australia,Delhi,19
Work,Brazil,Tokyo,17
Tourist,Australia,Toronto,57
Business,China,London,15
Tourist,Germany,London,11
Family,USA,Tokyo,45
Student,USA,Delhi,24
Business,Australia,Delhi,46
Business,Japan,London,34
Family,UK,Toronto,24
Tourist,Germany,Delhi,17
Student,Japan,Toronto,16
Tourist,Japan,Toronto,19
Work,UK,Sydney,53
Tourist,India,Paris,25
Business,USA,Delhi,44
Student,France,Tokyo,32
Tourist,Germany,Tokyo,43
Student,India,Delhi,12
Student,UK,Sydney,11
Work,France,Sao Paulo,39
Work,Germany,Sydney,38
Business,Canada,Paris,53
Family,UK,Paris,18
Student,Germany,New York,44
Family,Canada,Tokyo,51
Business,India,Sao Paulo,57
Student,Canada,Delhi,33
Student,UK,Toronto,11
Family,USA,Sao Paulo,11
Tourist,UK,New York,28
Work,Brazil,Sao Paulo,20
Tourist,China,Delhi,33
Family,India,Berlin,59
Work,China,Tokyo,25
Tourist,Japan,New York,41
Work,India,Paris,34
Student,Germany,Toronto,60
Tourist,France,Sydney,49
Work,Japan,Sao Paulo,16
Work,Germany,Berlin,27
Work,Japan,Beijing,17
Tourist,Brazil,London,53
Business,UK,New York,60
Tourist,India,Delhi,41
Family,USA,Beijing,13
Tourist,Brazil,Sydney,30
Work,India,London,22
Student,USA,London,42
Tourist,Japan,Sao Paulo,33
Tourist,Canada,Paris,59
Work,China,Toronto,15
Student,USA,New York,30
Student,UK,Sao Paulo,40
Family,Japan,Tokyo,53
Tourist,UK,Delhi,53
Student,France,Sydney,18
Student,India,Toronto,43
Business,Canada,London,10
Business,USA,Delhi,28
Student,China,Delhi,11
Family,USA,Toronto,29
Student,UK,Berlin,14
Work,Canada,Paris,45
Tourist,USA,London,26
Family,Japan,Berlin,21
Work,France,Paris,31
